id,pop,adhere1,adhere2,total_seed,total.adhere,ratio1,ratio2
9,2,8,4,20,0.6,0.4,0.333333333
17,2,4,8,20,0.6,0.2,0.5
63,2,11,4,20,0.75,0.55,0.444444444
139,2,10,2,20,0.6,0.5,0.2
149,2,9,2,20,0.55,0.45,0.181818182
155,2,3,5,20,0.4,0.15,0.294117647
165,2,5,1,20,0.3,0.25,0.066666667
185,2,4,6,20,0.5,0.2,0.375
199,2,4,6,20,0.5,0.2,0.375
300,2,5,7,20,0.6,0.25,0.466666667
29,3,6,6,20,0.6,0.3,0.428571429
73,3,7,8,20,0.75,0.35,0.615384615
119,3,7,2,20,0.45,0.35,0.153846154
140,3,6,3,20,0.45,0.3,0.214285714
164,3,6,5,20,0.55,0.3,0.357142857
230,3,2,6,20,0.4,0.1,0.333333333
233,3,6,2,20,0.4,0.3,0.142857143
256,3,5,9,20,0.7,0.25,0.6
291,3,6,6,20,0.6,0.3,0.428571429
304,3,4,2,13,0.461538462,0.307692308,0.222222222
23,4,8,5,20,0.65,0.4,0.416666667
30,4,5,2,17,0.411764706,0.294117647,0.166666667
48,4,2,5,20,0.35,0.1,0.277777778
79,4,5,8,20,0.65,0.25,0.533333333
130,4,2,4,20,0.3,0.1,0.222222222
153,4,8,4,20,0.6,0.4,0.333333333
173,4,1,2,20,0.15,0.05,0.105263158
237,4,7,6,20,0.65,0.35,0.461538462
286,4,8,5,20,0.65,0.4,0.416666667
305,4,1,3,20,0.2,0.05,0.157894737
12,5,9,2,20,0.55,0.45,0.181818182
178,5,8,3,20,0.55,0.4,0.25
218,5,5,7,20,0.6,0.25,0.466666667
241,5,11,4,20,0.75,0.55,0.444444444
245,5,10,6,20,0.8,0.5,0.6
271,5,3,1,20,0.2,0.15,0.058823529
274,5,1,5,20,0.3,0.05,0.263157895
277,5,NA,NA,NA,NA,NA,NA
282,5,6,4,20,0.5,0.3,0.285714286
302,5,5,4,20,0.45,0.25,0.266666667
51,6,3,5,20,0.4,0.15,0.294117647
64,6,2,5,20,0.35,0.1,0.277777778
97,6,10,8,20,0.9,0.5,0.8
98,6,7,8,20,0.75,0.35,0.615384615
99,6,1,6,20,0.35,0.05,0.315789474
107,6,2,3,20,0.25,0.1,0.166666667
249,6,2,6,20,0.4,0.1,0.333333333
252,6,2,3,20,0.25,0.1,0.166666667
279,6,3,5,20,0.4,0.15,0.294117647
281,6,4,3,20,0.35,0.2,0.1875
7,9,5,6,20,0.55,0.25,0.4
15,9,6,0,20,0.3,0.3,0
39,9,1,4,20,0.25,0.05,0.210526316
52,9,4,5,20,0.45,0.2,0.3125
172,9,0,5,20,0.25,0,0.25
177,9,3,8,20,0.55,0.15,0.470588235
210,9,1,7,20,0.4,0.05,0.368421053
214,9,3,2,20,0.25,0.15,0.117647059
244,9,2,2,20,0.2,0.1,0.111111111
278,9,1,0,20,0.05,0.05,0
1,10,4,3,20,0.35,0.2,0.1875
56,10,4,2,20,0.3,0.2,0.125
58,10,7,0,20,0.35,0.35,0
74,10,6,4,20,0.5,0.3,0.285714286
157,10,10,2,20,0.6,0.5,0.2
201,10,5,4,20,0.45,0.25,0.266666667
219,10,3,8,20,0.55,0.15,0.470588235
235,10,5,4,20,0.45,0.25,0.266666667
238,10,10,7,20,0.85,0.5,0.7
257,10,7,7,20,0.7,0.35,0.538461538
26,11,4,8,20,0.6,0.2,0.5
37,11,4,5,20,0.45,0.2,0.3125
62,11,4,2,20,0.3,0.2,0.125
83,11,1,1,20,0.1,0.05,0.052631579
84,11,6,6,20,0.6,0.3,0.428571429
122,11,7,3,20,0.5,0.35,0.230769231
131,11,7,7,20,0.7,0.35,0.538461538
146,11,8,4,20,0.6,0.4,0.333333333
275,11,8,2,20,0.5,0.4,0.166666667
280,11,5,6,20,0.55,0.25,0.4
2,13,5,5,20,0.5,0.25,0.333333333
45,13,4,10,19,0.736842105,0.210526316,0.666666667
70,13,6,4,20,0.5,0.3,0.285714286
123,13,5,2,20,0.35,0.25,0.133333333
125,13,8,3,20,0.55,0.4,0.25
135,13,10,7,20,0.85,0.5,0.7
175,13,5,6,20,0.55,0.25,0.4
180,13,8,3,20,0.55,0.4,0.25
200,13,2,4,20,0.3,0.1,0.222222222
240,13,3,0,20,0.15,0.15,0
4,15,2,3,20,0.25,0.1,0.166666667
14,15,0,7,20,0.35,0,0.35
46,15,0,5,20,0.25,0,0.25
88,15,3,7,20,0.5,0.15,0.411764706
106,15,1,4,20,0.25,0.05,0.210526316
113,15,0,5,20,0.25,0,0.25
152,15,1,6,20,0.35,0.05,0.315789474
197,15,3,3,12,0.5,0.25,0.333333333
236,15,6,6,20,0.6,0.3,0.428571429
310,15,2,0,12,0.166666667,0.166666667,0
3,16,5,1,20,0.3,0.25,0.066666667
35,16,8,8,20,0.8,0.4,0.666666667
85,16,1,2,20,0.15,0.05,0.105263158
105,16,0,1,20,0.05,0,0.05
110,16,3,5,20,0.4,0.15,0.294117647
134,16,1,4,20,0.25,0.05,0.210526316
215,16,8,3,20,0.55,0.4,0.25
262,16,1,4,20,0.25,0.05,0.210526316
276,16,1,4,20,0.25,0.05,0.210526316
299,16,0,2,20,0.1,0,0.1
19,17,5,3,20,0.4,0.25,0.2
31,17,13,6,20,0.95,0.65,0.857142857
34,17,8,5,20,0.65,0.4,0.416666667
112,17,10,2,20,0.6,0.5,0.2
150,17,6,4,20,0.5,0.3,0.285714286
154,17,2,2,17,0.235294118,0.117647059,0.133333333
162,17,8,1,20,0.45,0.4,0.083333333
225,17,4,7,12,0.916666667,0.333333333,0.875
228,17,6,7,20,0.65,0.3,0.5
288,17,7,4,20,0.55,0.35,0.307692308
82,18,9,4,20,0.65,0.45,0.363636364
101,18,0,6,20,0.3,0,0.3
108,18,3,5,20,0.4,0.15,0.294117647
126,18,2,6,20,0.4,0.1,0.333333333
133,18,7,2,20,0.45,0.35,0.153846154
142,18,7,3,20,0.5,0.35,0.230769231
163,18,0,0,20,0,0,0
186,18,3,5,20,0.4,0.15,0.294117647
209,18,3,2,20,0.25,0.15,0.117647059
232,18,14,5,20,0.95,0.7,0.833333333
18,19,8,5,20,0.65,0.4,0.416666667
68,19,2,5,20,0.35,0.1,0.277777778
76,19,NA,NA,NA,NA,NA,NA
77,19,3,3,20,0.3,0.15,0.176470588
92,19,3,2,20,0.25,0.15,0.117647059
187,19,4,7,20,0.55,0.2,0.4375
191,19,6,6,20,0.6,0.3,0.428571429
196,19,3,2,20,0.25,0.15,0.117647059
272,19,8,2,20,0.5,0.4,0.166666667
273,19,5,4,20,0.45,0.25,0.266666667
44,20,7,9,20,0.8,0.35,0.692307692
87,20,4,1,20,0.25,0.2,0.0625
89,20,9,5,20,0.7,0.45,0.454545455
137,20,3,4,20,0.35,0.15,0.235294118
193,20,5,5,20,0.5,0.25,0.333333333
204,20,6,6,20,0.6,0.3,0.428571429
234,20,7,3,20,0.5,0.35,0.230769231
255,20,7,4,20,0.55,0.35,0.307692308
284,20,3,3,20,0.3,0.15,0.176470588
289,20,9,3,20,0.6,0.45,0.272727273
10,23,9,8,20,0.85,0.45,0.727272727
90,23,8,5,20,0.65,0.4,0.416666667
100,23,5,7,20,0.6,0.25,0.466666667
109,23,6,5,20,0.55,0.3,0.357142857
117,23,6,6,20,0.6,0.3,0.428571429
118,23,7,5,20,0.6,0.35,0.384615385
129,23,2,7,20,0.45,0.1,0.388888889
208,23,4,2,20,0.3,0.2,0.125
221,23,17,1,20,0.9,0.85,0.333333333
224,23,10,7,20,0.85,0.5,0.7
81,25,7,3,19,0.526315789,0.368421053,0.25
94,25,11,9,20,1,0.55,1
138,25,8,6,20,0.7,0.4,0.5
156,25,8,2,20,0.5,0.4,0.166666667
217,25,NA,NA,NA,NA,NA,NA
231,25,5,5,15,0.666666667,0.333333333,0.5
247,25,4,4,20,0.4,0.2,0.25
259,25,10,5,20,0.75,0.5,0.5
270,25,6,3,20,0.45,0.3,0.214285714
287,25,5,3,17,0.470588235,0.294117647,0.25
8,26,8,4,20,0.6,0.4,0.333333333
47,26,6,4,20,0.5,0.3,0.285714286
80,26,7,5,20,0.6,0.35,0.384615385
102,26,7,8,20,0.75,0.35,0.615384615
121,26,3,2,20,0.25,0.15,0.117647059
167,26,7,3,20,0.5,0.35,0.230769231
188,26,4,2,20,0.3,0.2,0.125
203,26,5,1,8,0.75,0.625,0.333333333
207,26,5,3,20,0.4,0.25,0.2
229,26,11,4,20,0.75,0.55,0.444444444
38,27,9,6,20,0.75,0.45,0.545454545
40,27,12,5,20,0.85,0.6,0.625
49,27,6,10,20,0.8,0.3,0.714285714
57,27,10,5,20,0.75,0.5,0.5
91,27,10,5,20,0.75,0.5,0.5
93,27,8,9,20,0.85,0.4,0.75
