id,pop,prop.germ,prop.dorm
9,2,0.714285714,0.285714286
9,2,0.714285714,0.285714286
17,2,0.857142857,0.142857143
17,2,0.857142857,0.142857143
63,2,0.857142857,0.142857143
63,2,0.857142857,0.142857143
139,2,1,0
139,2,1,0
149,2,0.857142857,0.142857143
149,2,0.857142857,0.142857143
155,2,1,0
155,2,1,0
165,2,1,0
165,2,1,0
185,2,1,0
185,2,1,0
199,2,0.857142857,0.142857143
199,2,0.857142857,0.142857143
300,2,0.857142857,0.142857143
300,2,0.857142857,0.142857143
29,3,0.571428571,0.428571429
73,3,0.857142857,0.142857143
119,3,1,0
140,3,1,0
164,3,0.857142857,0.142857143
230,3,0.857142857,0.142857143
233,3,0.714285714,0.285714286
256,3,1,0
291,3,1,0
304,3,1,0
23,4,0.571428571,0.428571429
30,4,0.857142857,0.142857143
48,4,0.142857143,0.857142857
79,4,0.714285714,0.285714286
130,4,0.714285714,0.285714286
153,4,0.571428571,0.428571429
173,4,0.857142857,0.142857143
237,4,0.714285714,0.285714286
286,4,0.714285714,0.285714286
305,4,0.857142857,0.142857143
12,5,0.857142857,0.142857143
178,5,0.571428571,0.428571429
218,5,1,0
241,5,1,0
245,5,0.714285714,0.285714286
271,5,1,0
274,5,0.857142857,0.142857143
277,5,0.714285714,0.285714286
282,5,0.714285714,0.285714286
302,5,0.857142857,0.142857143
51,6,0.857142857,0.142857143
64,6,1,0
97,6,0.857142857,0.142857143
98,6,0.857142857,0.142857143
99,6,0.714285714,0.285714286
107,6,0.857142857,0.142857143
249,6,0.857142857,0.142857143
252,6,0.714285714,0.285714286
279,6,1,0
281,6,1,0
7,9,1,0
15,9,1,0
39,9,0.714285714,0.285714286
52,9,0.857142857,0.142857143
172,9,0.857142857,0.142857143
177,9,1,0
210,9,1,0
214,9,1,0
244,9,1,0
278,9,1,0
1,10,1,0
56,10,1,0
58,10,1,0
74,10,0.428571429,0.571428571
157,10,1,0
201,10,0.857142857,0.142857143
219,10,1,0
235,10,0.714285714,0.285714286
238,10,0.857142857,0.142857143
257,10,1,0
26,11,0.857142857,0.142857143
37,11,1,0
62,11,1,0
83,11,0.714285714,0.285714286
84,11,1,0
122,11,1,0
131,11,1,0
146,11,0.857142857,0.142857143
275,11,1,0
280,11,0.714285714,0.285714286
2,13,0.428571429,0.571428571
45,13,0.714285714,0.285714286
70,13,0.714285714,0.285714286
123,13,1,0
125,13,0.857142857,0.142857143
135,13,0.714285714,0.285714286
175,13,0.714285714,0.285714286
180,13,0.714285714,0.285714286
200,13,0.857142857,0.142857143
240,13,0.857142857,0.142857143
4,15,1,0
14,15,0.857142857,0.142857143
46,15,0.714285714,0.285714286
88,15,0.714285714,0.285714286
106,15,0.857142857,0.142857143
113,15,1,0
152,15,1,0
197,15,0.857142857,0.142857143
236,15,1,0
310,15,1,0
3,16,0.857142857,0.142857143
35,16,0.571428571,0.428571429
85,16,0.714285714,0.285714286
105,16,1,0
110,16,1,0
134,16,1,0
215,16,0.714285714,0.285714286
262,16,1,0
276,16,1,0
299,16,0.857142857,0.142857143
19,17,1,0
31,17,1,0
34,17,1,0
112,17,1,0
150,17,1,0
154,17,1,0
162,17,1,0
225,17,0.857142857,0.142857143
228,17,0.857142857,0.142857143
288,17,0.285714286,0.714285714
82,18,0.428571429,0.571428571
101,18,0.571428571,0.428571429
108,18,0.714285714,0.285714286
126,18,0.285714286,0.714285714
133,18,0.285714286,0.714285714
142,18,0.428571429,0.571428571
163,18,0.428571429,0.571428571
186,18,0.428571429,0.571428571
209,18,0.571428571,0.428571429
232,18,0.714285714,0.285714286
18,19,1,0
68,19,1,0
76,19,0.857142857,0.142857143
77,19,0.857142857,0.142857143
92,19,1,0
187,19,1,0
191,19,1,0
196,19,1,0
272,19,1,0
273,19,1,0
44,20,1,0
87,20,1,0
89,20,0.857142857,0.142857143
137,20,0.857142857,0.142857143
193,20,0.857142857,0.142857143
204,20,0.857142857,0.142857143
234,20,1,0
255,20,1,0
284,20,1,0
289,20,0.857142857,0.142857143
10,23,1,0
90,23,0.714285714,0.285714286
100,23,0.857142857,0.142857143
109,23,1,0
117,23,1,0
118,23,1,0
129,23,1,0
208,23,1,0
221,23,1,0
224,23,1,0
81,25,1,0
94,25,0.857142857,0.142857143
138,25,1,0
156,25,0.571428571,0.428571429
217,25,1,0
231,25,1,0
247,25,0.857142857,0.142857143
259,25,0.857142857,0.142857143
270,25,1,0
287,25,1,0
8,26,1,0
47,26,1,0
80,26,0.857142857,0.142857143
102,26,1,0
121,26,1,0
167,26,1,0
188,26,1,0
203,26,0.714285714,0.285714286
207,26,1,0
229,26,0.857142857,0.142857143
38,27,1,0
40,27,0.857142857,0.142857143
49,27,0.857142857,0.142857143
57,27,1,0
91,27,1,0
93,27,0.857142857,0.142857143
147,27,0.857142857,0.142857143
176,27,1,0
222,27,0.857142857,0.142857143
261,27,1,0
6,29,0.714285714,0.285714286
75,29,1,0
78,29,0.428571429,0.571428571
96,29,1,0
145,29,0.714285714,0.285714286
182,29,1,0
184,29,0.714285714,0.285714286
242,29,1,0
250,29,1,0
297,29,0.857142857,0.142857143
